,BTC,XRP,4b. close (USD),4b. close (USD),4b. close (USD)
2019-10-31,9140.85,0.29452,182.18,58.29,0.0025844
2019-11-01,9231.61,0.29146,182.85,58.23,0.0025932
2019-11-02,9289.52,0.29456,182.91,58.25,0.0025773
2019-11-03,9194.71,0.29024,181.54,58.29,0.0025861
2019-11-04,9393.35,0.29863,185.71,61.29,0.0025751
2019-11-05,9308.66,0.30061,188.68,63.12,0.0025927
2019-11-06,9339.05,0.31009,191.16,64.11,0.0025952
2019-11-07,9216.2,0.29061,186.68,61.39,0.0026982
2019-11-08,8773.73,0.27547,183.74,60.38,0.0026381
2019-11-09,8809.41,0.2799,184.89,62.04,0.0027126
2019-11-10,9039.47,0.27894,188.96,63.65,0.0027565
2019-11-11,8733.27,0.27423,184.98,61.84,0.002705
2019-11-12,8821.94,0.27222,187.09,61.42,0.0027078
2019-11-13,8777.12,0.27202,188.11,60.96,0.0026821
2019-11-14,8646.68,0.26795,184.92,59.0,0.002662
2019-11-15,8471.73,0.26069,180.0,57.6,0.002658
2019-11-16,8491.02,0.26218,182.37,58.3,0.0026606
2019-11-17,8502.4,0.26311,183.82,59.22,0.0026258
2019-11-18,8187.17,0.25179,178.2,55.81,0.0025395
2019-11-19,8133.64,0.25398,175.94,55.13,0.0025165
2019-11-20,8098.01,0.25014,174.72,54.98,0.0025225
2019-11-21,7627.74,0.24345,161.01,50.61,0.0024063
2019-11-22,7268.23,0.23,149.56,47.32,0.0023524
2019-11-23,7311.57,0.23407,151.84,48.1,0.0023994
2019-11-24,6903.28,0.21989,139.96,43.86,0.002233
2019-11-25,7109.57,0.21731,145.69,45.47,0.0022539
2019-11-26,7156.14,0.2206,147.47,46.91,0.0022663
2019-11-27,7508.52,0.224,152.62,47.7,0.0023208
2019-11-28,7419.49,0.22313,150.72,46.79,0.002272
2019-11-29,7739.68,0.22998,154.57,48.54,0.0023593
2019-11-30,7541.89,0.2255,151.37,47.21,0.0022918
2019-12-01,7390.89,0.22477,150.73,47.45,0.0022648
2019-12-02,7294.28,0.21914,148.65,45.45,0.0022194
2019-12-03,7292.71,0.21951,147.17,44.75,0.0021782
2019-12-04,7194.32,0.2139,145.38,44.67,0.0021682
2019-12-05,7389.0,0.22118,148.1,44.81,0.0021755
2019-12-06,7527.47,0.22546,148.45,45.28,0.0021944
2019-12-07,7488.21,0.22699,147.14,45.15,0.002184
2019-12-08,7510.11,0.22909,150.44,45.56,0.0021971
2019-12-09,7338.64,0.22445,147.38,44.45,0.0021699
2019-12-10,7224.13,0.22256,145.56,44.09,0.0021368
2019-12-11,7210.0,0.22093,143.39,43.7,0.0021379
2019-12-12,7198.08,0.21837,144.87,43.65,0.0021344
2019-12-13,7258.48,0.22054,144.8,44.44,0.0021321
2019-12-14,7064.05,0.21605,141.79,43.25,0.0021127
2019-12-15,7118.59,0.21735,142.46,43.44,0.0021363
2019-12-16,6891.72,0.2055,132.73,39.99,0.002087
2019-12-17,6623.82,0.1831,121.88,36.92,0.0019772
2019-12-18,7277.83,0.19573,132.78,40.79,0.0020483
2019-12-19,7150.3,0.1878,128.1,39.65,0.0020205
2019-12-20,7187.83,0.19521,128.19,40.17,0.0020273
2019-12-21,7132.75,0.19143,126.99,39.67,0.00204
2019-12-22,7501.44,0.19649,132.09,41.82,0.0020808
2019-12-23,7317.09,0.18953,127.8,40.56,0.002051
2019-12-24,7255.77,0.19077,127.75,40.34,0.0020184
2019-12-25,7204.63,0.18852,125.09,40.08,0.00204
2019-12-26,7202.0,0.18923,125.58,40.01,0.0020245
2019-12-27,7254.74,0.19003,126.29,40.95,0.0020277
2019-12-28,7316.14,0.1932,128.11,42.83,0.0020458
2019-12-29,7388.24,0.19653,134.36,43.08,0.0020329
2019-12-30,7246.0,0.19326,131.59,42.38,0.0020264
2019-12-31,7195.23,0.19295,129.16,41.3,0.0020135
2020-01-01,7200.85,0.19305,130.77,41.62,0.0020245
2020-01-02,6965.71,0.1875,127.19,39.43,0.0019951
2020-01-03,7344.96,0.19338,134.35,42.23,0.0020236
2020-01-04,7354.11,0.19305,134.2,42.78,0.0020579
2020-01-05,7358.75,0.19453,135.37,43.3,0.0020696
2020-01-06,7758.0,0.2231,144.15,45.8,0.0021344
2020-01-07,8145.28,0.21335,142.8,46.3,0.002175
2020-01-08,8055.98,0.2075,140.72,45.35,0.0020886
2020-01-09,7817.76,0.20373,137.74,44.74,0.0021282
2020-01-10,8197.02,0.21284,144.84,49.06,0.0021973
2020-01-11,8020.01,0.21121,142.38,49.3,0.0021754
2020-01-12,8184.98,0.21539,146.54,51.43,0.0021963
2020-01-13,8110.34,0.21134,143.58,49.6,0.0021704
2020-01-14,8810.01,0.23464,165.64,58.39,0.0023581
2020-01-15,8821.41,0.23367,166.4,58.16,0.0023669
2020-01-16,8720.01,0.229,164.21,57.56,0.0023276
2020-01-17,8913.28,0.23921,169.85,61.02,0.0024868
2020-01-18,8915.96,0.24357,174.14,59.32,0.0025115
2020-01-19,8701.7,0.23558,166.79,57.6,0.0023982
2020-01-20,8642.35,0.23314,166.87,57.19,0.002376
2020-01-21,8736.03,0.23726,169.49,57.57,0.0023673
2020-01-22,8682.36,0.23733,168.07,58.33,0.0023434
2020-01-23,8404.52,0.22586,162.81,54.52,0.0022514
2020-01-24,8439.0,0.22222,162.54,54.38,0.0022698
2020-01-25,8340.58,0.21946,160.35,53.25,0.002251
2020-01-26,8615.0,0.23131,167.86,56.24,0.0022854
2020-01-27,8907.57,0.23077,170.08,58.55,0.0023594
2020-01-28,9374.21,0.23906,175.64,60.52,0.0024412
2020-01-29,9301.53,0.23539,173.72,59.8,0.0023865
2020-01-30,9513.21,0.24376,184.69,67.98,0.002414
2020-01-31,9352.89,0.23946,179.99,68.0,0.0023776
2020-02-01,9384.61,0.24141,183.6,70.72,0.002417
2020-02-02,9331.51,0.25093,188.44,69.93,0.0024406
2020-02-03,9292.24,0.25453,189.69,69.65,0.0024156
2020-02-04,9197.02,0.26737,188.91,68.07,0.0025169
2020-02-05,9612.04,0.27774,203.78,72.59,0.0025826
2020-02-06,9772.0,0.28325,213.19,73.6,0.0026654
2020-02-07,9813.73,0.27953,223.33,74.3,0.0027888
2020-02-08,9895.05,0.27735,223.05,76.56,0.003171
2020-02-09,10151.75,0.28257,228.49,77.0,0.0032235
2020-02-10,9851.83,0.27338,222.89,74.02,0.0029663
2020-02-11,10223.08,0.281,236.69,76.46,0.00303
2020-02-12,10326.46,0.30427,265.74,81.17,0.0030589
2020-02-13,10229.63,0.32709,268.32,80.55,0.0030132
2020-02-14,10344.36,0.33594,285.15,83.14,0.0031067
2020-02-15,9904.72,0.30729,264.88,76.7,0.0029031
2020-02-16,9917.27,0.29224,258.85,74.67,0.0027522
