,ETH
2019-04-28,157.85000000
2019-04-27,159.31000000
2019-04-26,157.95000000
2019-04-25,154.72000000
2019-04-24,164.78000000
2019-04-23,169.16000000
2019-04-22,170.52000000
2019-04-21,168.59000000
2019-04-20,172.88000000
2019-04-19,172.64000000
2019-04-18,173.33000000
2019-04-17,165.75000000
2019-04-16,165.37000000
2019-04-15,159.95000000
2019-04-14,167.23000000
2019-04-13,162.99000000
2019-04-12,163.19000000
2019-04-11,164.07000000
2019-04-10,177.12000000
2019-04-09,174.60000000
2019-04-08,178.72000000
2019-04-07,174.21000000
2019-04-06,165.50000000
2019-04-05,164.77000000
2019-04-04,157.36000000
2019-04-03,159.96000000
2019-04-02,163.31000000
2019-04-01,141.24000000
2019-03-31,141.38000000
2019-03-30,142.46000000
2019-03-29,143.25000000
2019-03-28,137.86000000
2019-03-27,139.45000000
2019-03-26,134.18000000
2019-03-25,133.98000000
2019-03-24,136.09000000
2019-03-23,137.28000000
2019-03-22,135.98000000
2019-03-21,134.85000000
2019-03-20,139.01000000
2019-03-19,138.55000000
2019-03-18,137.59000000
2019-03-17,138.67000000
2019-03-16,140.92000000
2019-03-15,136.56000000
2019-03-14,132.20000000
2019-03-13,131.65000000
2019-03-12,133.57000000
2019-03-11,132.67000000
2019-03-10,135.37000000
2019-03-09,137.27000000
2019-03-08,133.52000000
2019-03-07,136.81000000
2019-03-06,137.40000000
2019-03-05,136.72000000
2019-03-04,125.65000000
2019-03-03,130.60000000
2019-03-02,132.56000000
2019-03-01,135.32000000
2019-02-28,135.34000000
2019-02-27,135.02000000
2019-02-26,136.22000000
2019-02-25,137.87000000
2019-02-24,132.10000000
2019-02-23,157.79000000
2019-02-22,147.36000000
2019-02-21,145.69000000
2019-02-20,148.44000000
2019-02-19,143.44000000
2019-02-18,145.69000000
2019-02-17,133.75000000
2019-02-16,122.67000000
2019-02-15,121.67000000
2019-02-14,120.42000000
2019-02-13,121.86000000
2019-02-12,122.41000000
2019-02-11,120.89000000
2019-02-10,125.12000000
2019-02-09,119.19000000
2019-02-08,119.25000000
2019-02-07,104.48000000
2019-02-06,104.50000000
2019-02-05,107.27000000
2019-02-04,107.68000000
2019-02-03,107.36000000
