,XRP
2019-07-09,0.39362000
2019-07-08,0.40073000
2019-07-07,0.39651000
2019-07-06,0.39031000
2019-07-05,0.37881000
2019-07-04,0.38723000
2019-07-03,0.40456000
2019-07-02,0.39794000
2019-07-01,0.40691000
2019-06-30,0.39620000
2019-06-29,0.42620000
2019-06-28,0.42610000
2019-06-27,0.41049000
2019-06-26,0.46805000
2019-06-25,0.46809000
2019-06-24,0.47385000
2019-06-23,0.47015000
2019-06-22,0.47729000
2019-06-21,0.44250000
2019-06-20,0.42995000
2019-06-19,0.43406000
2019-06-18,0.42694000
2019-06-17,0.44705000
2019-06-16,0.42703000
2019-06-15,0.40950000
2019-06-14,0.40201000
2019-06-13,0.39876000
2019-06-12,0.40074000
2019-06-11,0.39192000
2019-06-10,0.39990000
2019-06-09,0.38527000
2019-06-08,0.40699000
2019-06-07,0.41886000
2019-06-06,0.41937000
2019-06-05,0.40010000
2019-06-04,0.39878000
2019-06-03,0.41731000
2019-06-02,0.44396000
2019-06-01,0.42894000
2019-05-31,0.43851000
2019-05-30,0.41789000
2019-05-29,0.44307000
2019-05-28,0.44877000
2019-05-27,0.43331000
2019-05-26,0.40372000
2019-05-25,0.38520000
2019-05-24,0.38286000
2019-05-23,0.37956000
2019-05-22,0.37183000
2019-05-21,0.39524000
2019-05-20,0.39636000
2019-05-19,0.41631000
2019-05-18,0.37183000
2019-05-17,0.38862000
2019-05-16,0.41876000
2019-05-15,0.45734000
2019-05-14,0.40900000
2019-05-13,0.32409000
2019-05-12,0.31016000
2019-05-11,0.31724000
2019-05-10,0.29881000
2019-05-09,0.29488000
2019-05-08,0.29958000
2019-05-07,0.29819000
2019-05-06,0.30283000
2019-05-05,0.30044000
2019-05-04,0.30305000
2019-05-03,0.30784000
2019-05-02,0.30205000
2019-05-01,0.30304000
2019-04-30,0.30870000
2019-04-29,0.29323000
2019-04-28,0.29946000
2019-04-27,0.29928000
2019-04-26,0.30350000
2019-04-25,0.29161000
2019-04-24,0.29963000
2019-04-23,0.31807000
2019-04-22,0.32252000
2019-04-21,0.31963000
2019-04-20,0.32668000
2019-04-19,0.32999000
2019-04-18,0.33533000
2019-04-17,0.33436000
2019-04-16,0.32379000
2019-04-15,0.31905000
2019-04-14,0.32762000
2019-04-13,0.32458000
2019-04-12,0.32325000
2019-04-11,0.32705000
2019-04-10,0.35345000
2019-04-09,0.34732000
2019-04-08,0.35568000
2019-04-07,0.36120000
2019-04-06,0.35264000
2019-04-05,0.36130000
2019-04-04,0.32996000
2019-04-03,0.34022000
2019-04-02,0.35050000
2019-04-01,0.31248000
2019-03-31,0.30889000
2019-03-30,0.31107000
2019-03-29,0.30774000
2019-03-28,0.30604000
2019-03-27,0.31012000
2019-03-26,0.30302000
2019-03-25,0.30310000
2019-03-24,0.30787000
2019-03-23,0.31182000
2019-03-22,0.31041000
2019-03-21,0.30965000
2019-03-20,0.31779000
2019-03-19,0.31594000
2019-03-18,0.31452000
2019-03-17,0.31540000
2019-03-16,0.31868000
2019-03-15,0.31473000
2019-03-14,0.31131000
2019-03-13,0.31332000
2019-03-12,0.31031000
2019-03-11,0.30992000
2019-03-10,0.31289000
2019-03-09,0.31389000
2019-03-08,0.30775000
2019-03-07,0.31311000
2019-03-06,0.31629000
2019-03-05,0.31471000
2019-03-04,0.30207000
2019-03-03,0.31114000
2019-03-02,0.31382000
2019-03-01,0.31564000
2019-02-28,0.31390000
2019-02-27,0.31067000
2019-02-26,0.31658000
2019-02-25,0.32731000
2019-02-24,0.29757000
2019-02-23,0.33201000
2019-02-22,0.32105000
2019-02-21,0.32070000
2019-02-20,0.33150000
2019-02-19,0.32238000
2019-02-18,0.32194000
2019-02-17,0.30318000
2019-02-16,0.30077000
2019-02-15,0.30194000
2019-02-14,0.30081000
2019-02-13,0.30382000
2019-02-12,0.30514000
2019-02-11,0.30255000
2019-02-10,0.30988000
2019-02-09,0.31215000
2019-02-08,0.31205000
