,Date,BTC,ETH,LTC,XRP
315,2020-08-04,11191.97000000,389.61000000,57.61000000,0.30138000
316,2020-08-03,11219.81000000,385.94000000,58.48000000,0.31016000
317,2020-08-02,11071.35000000,372.42000000,56.77000000,0.28803000
318,2020-08-01,11801.17000000,387.00000000,61.65000000,0.29089000
319,2020-07-31,11335.46000000,346.33000000,58.13000000,0.25939000
320,2020-07-30,11099.61000000,334.87000000,56.75000000,0.24408000
321,2020-07-29,11100.53000000,317.71000000,55.16000000,0.24327000
322,2020-07-28,10906.27000000,316.77000000,55.75000000,0.23029000
323,2020-07-27,11029.96000000,321.93000000,53.28000000,0.22437000
324,2020-07-26,9931.54000000,311.00000000,48.10000000,0.21532000
325,2020-07-25,9700.42000000,305.26000000,49.16000000,0.21463000
326,2020-07-24,9537.80000000,279.15000000,44.11000000,0.20392000
327,2020-07-23,9603.27000000,275.30000000,44.94000000,0.20851000
328,2020-07-22,9518.16000000,263.74000000,44.96000000,0.20348000
329,2020-07-21,9390.00000000,245.59000000,43.77000000,0.19949000
330,2020-07-20,9160.78000000,236.01000000,41.94000000,0.19465000
331,2020-07-19,9208.99000000,239.11000000,42.64000000,0.19956000
332,2020-07-18,9170.28000000,235.67000000,42.45000000,0.19990000
333,2020-07-17,9154.32000000,232.67000000,41.90000000,0.19440000
334,2020-07-16,9133.72000000,233.57000000,42.09000000,0.19444000
335,2020-07-15,9197.60000000,238.61000000,43.33000000,0.19721000
336,2020-07-14,9255.85000000,240.44000000,43.88000000,0.19909000
337,2020-07-13,9242.62000000,239.50000000,43.92000000,0.19867000
338,2020-07-12,9302.75000000,242.79000000,44.70000000,0.20128000
339,2020-07-11,9234.03000000,239.19000000,44.69000000,0.20110000
340,2020-07-10,9288.34000000,241.26000000,44.30000000,0.19909000
341,2020-07-09,9232.43000000,241.98000000,44.33000000,0.20263000
342,2020-07-08,9436.06000000,246.95000000,45.35000000,0.20551000
343,2020-07-07,9257.39000000,239.39000000,43.39000000,0.18508000
344,2020-07-06,9344.20000000,241.60000000,44.06000000,0.18875000
345,2020-07-05,9069.41000000,227.56000000,41.58000000,0.17695000
346,2020-07-04,9135.46000000,229.17000000,42.11000000,0.17808000
347,2020-07-03,9058.26000000,224.87000000,41.14000000,0.17620000
348,2020-07-02,9086.54000000,226.46000000,41.05000000,0.17477000
349,2020-07-01,9232.00000000,230.99000000,41.77000000,0.17647000
350,2020-06-30,9138.55000000,225.60000000,41.17000000,0.17533000
351,2020-06-29,9192.56000000,227.93000000,41.87000000,0.17726000
352,2020-06-28,9116.35000000,224.93000000,41.37000000,0.17693000
353,2020-06-27,9012.00000000,220.94000000,41.06000000,0.17509000
354,2020-06-26,9162.21000000,229.64000000,43.09000000,0.18249000
355,2020-06-25,9249.49000000,232.50000000,42.35000000,0.18156000
